"Year","State","NMFS Name","Pounds","Metric Tons","Dollars","Confidentiality","Collection","Scientific Name","Tsn","Source"
"2016","WASHINGTON","THORNYHEAD, SHORTSPINE","","","","Confidential","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2015","CALIFORNIA","SABLEFISH","4,067,965","1,845","8,909,086","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2015","CALIFORNIA","SOLE, DOVER","4,172,464","1,893","1,869,904","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2015","CALIFORNIA","THORNYHEAD, LONGSPINE","1,080,043","490","549,740","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2015","CALIFORNIA","THORNYHEAD, SHORTSPINE","784,624","356","2,081,343","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2015","OREGON","SABLEFISH","5,001,180","2,269","12,767,141","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2015","OREGON","SOLE, DOVER","9,202,304","4,174","4,108,105","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2015","OREGON","THORNYHEAD, LONGSPINE","452,608","205","161,151","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2015","OREGON","THORNYHEAD, SHORTSPINE","1,036,171","470","627,942","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2015","WASHINGTON","SABLEFISH","2,326,095","1,055","7,003,406","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2015","WASHINGTON","SOLE, DOVER","573,201","260","251,131","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2015","WASHINGTON","THORNYHEAD, LONGSPINE","5,291","2","2,442","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2015","WASHINGTON","THORNYHEAD, SHORTSPINE","115,522","52","85,992","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2015","WASHINGTON","THORNYHEAD, SHORTSPINE","","","","Confidential","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2014","CALIFORNIA","SABLEFISH","4,131,678","1,874","9,424,662","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2014","CALIFORNIA","SOLE, DOVER","4,310,032","1,955","1,916,662","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2014","CALIFORNIA","THORNYHEAD, LONGSPINE","1,343,275","609","693,538","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2014","CALIFORNIA","THORNYHEAD, SHORTSPINE","841,283","382","2,186,647","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2014","OREGON","SABLEFISH","3,297,230","1,496","8,075,655","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2014","OREGON","SOLE, DOVER","9,351,557","4,242","4,219,555","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2014","OREGON","THORNYHEAD, LONGSPINE","504,638","229","180,014","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2014","OREGON","THORNYHEAD, SHORTSPINE","848,558","385","545,931","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2014","WASHINGTON","SABLEFISH","2,328,299","1,056","6,988,270","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2014","WASHINGTON","SOLE, DOVER","556,446","252","240,863","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2014","WASHINGTON","THORNYHEAD, LONGSPINE","65,257","30","33,912","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2014","WASHINGTON","THORNYHEAD, SHORTSPINE","150,355","68","126,963","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2014","WASHINGTON","THORNYHEAD, SHORTSPINE","","","","Confidential","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2013","CALIFORNIA","SABLEFISH","3,311,339","1,502","7,063,899","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2013","CALIFORNIA","SOLE, DOVER","4,889,406","2,218","2,139,010","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2013","CALIFORNIA","THORNYHEAD, LONGSPINE","1,378,108","625","686,164","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2013","CALIFORNIA","THORNYHEAD, SHORTSPINE","974,222","442","2,382,875","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2013","OREGON","SABLEFISH","3,844,416","1,744","7,594,899","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2013","OREGON","SOLE, DOVER","11,345,636","5,146","5,085,450","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2013","OREGON","THORNYHEAD, LONGSPINE","791,238","359","297,057","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2013","OREGON","THORNYHEAD, SHORTSPINE","1,074,311","487","671,941","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2013","WASHINGTON","SABLEFISH","1,970,489","894","4,764,259","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2013","WASHINGTON","SOLE, DOVER","1,336,220","606","548,543","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2013","WASHINGTON","THORNYHEAD, LONGSPINE","110,231","50","45,826","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2013","WASHINGTON","THORNYHEAD, SHORTSPINE","176,370","80","106,341","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2013","WASHINGTON","THORNYHEAD, SHORTSPINE","","","","Confidential","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2012","CALIFORNIA","SABLEFISH","3,927,751","1,782","8,990,074","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2012","CALIFORNIA","SOLE, DOVER","4,763,302","2,161","1,942,061","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2012","CALIFORNIA","THORNYHEAD, LONGSPINE","1,078,059","489","540,159","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2012","CALIFORNIA","THORNYHEAD, SHORTSPINE","923,956","419","2,065,889","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2012","OREGON","SABLEFISH","4,745,224","2,152","11,530,253","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2012","OREGON","SOLE, DOVER","9,810,339","4,450","4,134,265","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2012","OREGON","THORNYHEAD, LONGSPINE","733,698","333","303,319","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2012","OREGON","THORNYHEAD, SHORTSPINE","828,937","376","538,996","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2012","WASHINGTON","SABLEFISH","3,013,716","1,367","7,813,344","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2012","WASHINGTON","SOLE, DOVER","1,581,815","718","675,395","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2012","WASHINGTON","THORNYHEAD, LONGSPINE","110,231","50","51,266","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2012","WASHINGTON","THORNYHEAD, SHORTSPINE","257,059","117","156,897","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2011","CALIFORNIA","SABLEFISH","5,657,055","2,566","15,121,851","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2011","CALIFORNIA","SOLE, DOVER","5,293,513","2,401","2,246,053","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2011","CALIFORNIA","THORNYHEAD, LONGSPINE","969,592","440","464,765","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2011","CALIFORNIA","THORNYHEAD, SHORTSPINE","1,034,628","469","2,555,827","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2011","OREGON","SABLEFISH","5,080,547","2,305","17,351,301","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2011","OREGON","SOLE, DOVER","10,451,222","4,741","4,271,299","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2011","OREGON","THORNYHEAD, LONGSPINE","738,548","335","275,364","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2011","OREGON","THORNYHEAD, SHORTSPINE","859,361","390","501,722","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2011","WASHINGTON","SABLEFISH","3,423,113","1,553","12,378,024","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2011","WASHINGTON","SOLE, DOVER","1,412,720","641","500,300","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2011","WASHINGTON","THORNYHEAD, LONGSPINE","285,719","130","131,314","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2011","WASHINGTON","THORNYHEAD, SHORTSPINE","259,925","118","142,477","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2010","CALIFORNIA","SABLEFISH","5,507,582","2,498","11,491,020","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2010","CALIFORNIA","SOLE, DOVER","5,776,986","2,620","1,792,134","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2010","CALIFORNIA","THORNYHEAD, LONGSPINE","1,161,173","527","508,708","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2010","CALIFORNIA","THORNYHEAD, SHORTSPINE","1,078,941","489","2,384,381","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2010","OREGON","SABLEFISH","6,301,024","2,858","15,068,692","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2010","OREGON","SOLE, DOVER","15,178,809","6,885","4,604,964","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2010","OREGON","THORNYHEAD, LONGSPINE","1,645,969","747","503,084","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2010","OREGON","THORNYHEAD, SHORTSPINE","1,705,494","774","899,452","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2010","WASHINGTON","SABLEFISH","3,263,058","1,480","9,319,731","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2010","WASHINGTON","SOLE, DOVER","1,957,923","888","564,831","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2010","WASHINGTON","THORNYHEAD, LONGSPINE","65,698","30","28,196","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2010","WASHINGTON","THORNYHEAD, SHORTSPINE","186,070","84","103,887","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2010","WASHINGTON","THORNYHEAD, SHORTSPINE","","","","Confidential","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2009","CALIFORNIA","SABLEFISH","5,095,538","2,311","9,765,180","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2009","CALIFORNIA","SOLE, DOVER","6,968,804","3,161","2,561,681","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2009","CALIFORNIA","THORNYHEAD, LONGSPINE","1,190,715","540","509,723","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2009","CALIFORNIA","THORNYHEAD, SHORTSPINE","1,058,879","480","2,081,681","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2009","OREGON","SABLEFISH","7,279,214","3,302","15,894,467","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2009","OREGON","SOLE, DOVER","16,438,969","7,457","5,292,248","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2009","OREGON","THORNYHEAD, LONGSPINE","1,199,975","544","331,014","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2009","OREGON","THORNYHEAD, SHORTSPINE","2,055,808","933","1,084,724","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2009","WASHINGTON","SABLEFISH","3,506,889","1,591","8,711,747","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2009","WASHINGTON","SOLE, DOVER","2,488,575","1,129","781,875","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2009","WASHINGTON","THORNYHEAD, LONGSPINE","86,642","39","23,974","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2009","WASHINGTON","THORNYHEAD, SHORTSPINE","262,129","119","142,303","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2008","CALIFORNIA","SABLEFISH","3,514,385","1,594","6,227,860","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2008","CALIFORNIA","SOLE, DOVER","6,623,119","3,004","2,562,582","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2008","CALIFORNIA","THORNYHEAD, LONGSPINE","1,495,835","679","746,940","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2008","CALIFORNIA","THORNYHEAD, SHORTSPINE","963,639","437","2,110,619","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2008","OREGON","SABLEFISH","6,521,707","2,958","13,736,577","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2008","OREGON","SOLE, DOVER","16,016,785","7,265","5,874,919","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2008","OREGON","THORNYHEAD, LONGSPINE","1,218,493","553","500,253","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2008","OREGON","THORNYHEAD, SHORTSPINE","1,983,717","900","1,276,783","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2008","WASHINGTON","SABLEFISH","2,911,201","1,321","7,159,589","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2008","WASHINGTON","SOLE, DOVER","2,118,640","961","781,865","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2008","WASHINGTON","THORNYHEAD, LONGSPINE","9,039","4","4,428","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2008","WASHINGTON","THORNYHEAD, SHORTSPINE","205,030","93","137,318","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2008","WASHINGTON","THORNYHEAD, SHORTSPINE","","","","Confidential","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2007","CALIFORNIA","SABLEFISH","3,244,980","1,472","4,879,597","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2007","CALIFORNIA","SOLE, DOVER","6,087,617","2,761","2,373,454","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2007","CALIFORNIA","THORNYHEAD, LONGSPINE","1,022,723","464","537,914","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2007","CALIFORNIA","THORNYHEAD, SHORTSPINE","804,686","365","1,684,248","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2007","OREGON","SABLEFISH","5,355,683","2,429","9,494,191","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2007","OREGON","SOLE, DOVER","12,246,444","5,555","4,513,247","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2007","OREGON","THORNYHEAD, LONGSPINE","665,575","302","300,810","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2007","OREGON","THORNYHEAD, SHORTSPINE","1,244,949","565","767,232","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2007","WASHINGTON","SABLEFISH","2,973,812","1,349","6,442,111","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2007","WASHINGTON","SOLE, DOVER","2,136,718","969","767,504","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2007","WASHINGTON","THORNYHEAD, LONGSPINE","18,739","9","8,992","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2007","WASHINGTON","THORNYHEAD, SHORTSPINE","171,740","78","121,621","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2006","CALIFORNIA","SABLEFISH","3,621,529","1,643","4,899,284","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2006","CALIFORNIA","SOLE, DOVER","3,843,094","1,743","1,417,036","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2006","CALIFORNIA","THORNYHEAD, LONGSPINE","1,160,292","526","657,337","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2006","CALIFORNIA","THORNYHEAD, SHORTSPINE","780,876","354","1,624,464","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2006","OREGON","SABLEFISH","5,841,141","2,650","9,786,743","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2006","OREGON","SOLE, DOVER","7,772,608","3,526","2,878,442","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2006","OREGON","THORNYHEAD, LONGSPINE","437,617","199","268,128","Public","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2006","OREGON","THORNYHEAD, SHORTSPINE","664,913","302","506,972","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2006","WASHINGTON","SABLEFISH","4,205,313","1,908","8,132,648","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
"2006","WASHINGTON","SOLE, DOVER","1,550,068","703","566,756","Public","Commercial","Microstomus pacificus","172887","PACFIN"
"2006","WASHINGTON","THORNYHEAD, LONGSPINE","","","","Confidential","Commercial","Sebastolobus altivelis","166784","PACFIN"
"2006","WASHINGTON","THORNYHEAD, SHORTSPINE","105,601","48","74,075","Public","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2006","WASHINGTON","THORNYHEAD, SHORTSPINE","","","","Confidential","Commercial","Sebastolobus alascanus","166783","PACFIN"
"2005","CALIFORNIA","SABLEFISH","3,648,867","1,655","4,298,389","Public","Commercial","Anoplopoma fimbria","167123","PACFIN"
